counter,frame,x,y,w,h
1,706,358,74,12,10
2,706,456,77,12,10
1,707,358,76,12,10
2,707,455,79,12,10
1,708,359,76,12,10
2,708,455,79,12,10
1,709,359,76,12,10
2,709,457,79,12,10
1,710,358,77,12,10
2,710,455,79,12,10
1,711,359,77,12,10
2,711,456,80,12,10
1,712,360,76,12,10
2,712,458,79,12,10
1,713,359,76,12,10
2,713,456,79,12,10
1,714,358,77,12,10
2,714,456,79,12,10
1,715,359,76,12,10
2,715,457,78,12,10
1,716,358,74,12,10
2,716,456,77,12,10
1,717,360,77,12,10
2,717,458,79,12,10
1,718,360,78,12,10
2,718,457,80,12,10
1,719,359,77,12,10
2,719,457,80,12,10
1,720,360,77,12,10
2,720,458,78,12,10
1,721,360,78,12,10
2,721,458,80,12,10
1,722,360,78,12,10
2,722,458,80,12,10
1,723,358,76,12,10
2,723,460,77,12,10
1,724,358,76,12,10
2,724,461,78,12,10
1,725,358,76,12,10
2,725,462,78,12,10
1,726,358,78,12,10
2,726,461,79,12,10
1,727,358,77,12,10
2,727,461,78,12,10
1,728,358,75,12,10
2,728,462,77,12,10
1,729,358,76,12,10
2,729,458,78,12,10
1,730,358,76,12,10
2,730,457,77,12,10
1,731,362,76,12,10
2,731,460,78,12,10
1,732,363,76,12,10
2,732,461,78,12,10
1,733,360,78,12,10
2,733,460,79,12,10
1,734,362,78,12,10
2,734,460,79,12,10
1,735,359,76,12,10
2,735,459,77,12,10
1,736,361,77,12,10
2,736,460,78,12,10
1,737,365,79,12,10
2,737,463,80,12,10
1,738,362,79,12,10
2,738,461,80,12,10
1,739,362,76,12,10
2,739,461,78,12,10
1,740,362,76,12,10
2,740,461,76,12,10
1,741,361,79,12,10
2,741,461,80,12,10
1,742,364,79,12,10
2,742,462,80,12,10
1,743,364,76,12,10
2,743,464,76,12,10
1,744,362,79,12,10
2,744,461,79,12,10
1,745,364,80,12,10
2,745,463,81,12,10
1,746,364,77,12,10
2,746,464,78,12,10
1,747,364,78,12,10
2,747,464,78,12,10
1,748,363,79,12,10
2,748,462,79,12,10
1,749,363,79,12,10
2,749,463,80,12,10
1,750,361,76,12,10
2,750,461,76,12,10
1,751,363,74,12,10
2,751,463,75,12,10
1,752,362,75,12,10
2,752,462,76,12,10
1,753,363,78,12,10
2,753,463,78,12,10
1,754,364,77,12,10
2,754,464,77,12,10
1,755,364,76,12,10
2,755,465,77,12,10
1,756,364,76,12,10
